method,obstacle_speed_m_per_s,random_seed,success,goal_and_formation_completed,completion_time_s,minimum_obstacle_clearance_m,minimum_inter_uav_distance_m,mean_formation_error_m,max_formation_error_m,final_formation_error_m,formation_recovery_time_s,formation_recovered,total_flight_distance_m,obstacle_collision_count,uav_collision_count,total_collision_count,dynamic_max_abs_roll_deg,dynamic_max_abs_pitch_deg,attitude_change_rms_deg_per_s,max_actual_speed_m_per_s,simulation_exception,error_message
current_position,1.0,7,True,True,20.950000000000003,1.357099770055935,3.9976843861291167,4.31178370703561,6.548102938549845,0.9881060413094026,8.650000000000002,True,250.41757340022562,0,0,0,3.436881824483518,3.5645019494927452,5.934959787427002,2.999999999999396,False,
current_position,1.0,19,True,True,20.950000000000003,1.3552391892125308,3.9899533911204856,4.2442997554602755,6.559352573320375,0.9879649082265177,8.650000000000002,True,247.3157788516302,0,0,0,3.436881824483518,3.578970849658595,10.356810841669096,2.999999999999396,False,
current_position,1.0,42,True,True,20.950000000000003,1.3556272374273293,4.000062738935901,4.220165644541818,6.5339005456088275,0.9875437739163084,8.650000000000002,True,246.0967787210308,0,0,0,3.436881824483518,3.5883357562179703,10.457355654823976,2.999999999999396,False,
current_position,1.0,73,True,True,20.950000000000003,1.3558184126930877,2.2959265489291285,4.201486173904365,6.513492644996218,0.9874077461813247,8.650000000000002,True,245.12869562555326,0,0,0,3.436881824483518,3.557842099475688,10.780880077681472,2.999999999999396,False,
current_position,1.0,91,True,True,20.950000000000003,1.3561839447207358,4.000062982971331,4.3112195444240715,6.548827537343755,0.9883344345229037,8.650000000000002,True,250.27308411934297,0,0,0,3.436881824483518,3.5756504358590036,6.107825548538064,2.999999999999396,False,
predicted_position,1.0,7,True,True,21.200000000000003,0.9555184034601092,3.9976843861291167,4.298051450887835,8.942668941394043,0.9950726115463716,8.700000000000003,True,252.62162472651718,0,0,0,7.98698692672661,2.271451985667653,6.857715572569969,2.999999999998524,False,
predicted_position,1.0,19,True,True,21.200000000000003,0.954938102756328,3.9899533911204856,4.231264987921928,8.954850782328792,0.994875565563581,8.700000000000003,True,249.51750614831025,0,0,0,7.98698692672661,2.286177228650644,10.886546915426361,2.999999999998524,False,
predicted_position,1.0,42,True,True,21.200000000000003,0.9545031438518199,4.000101161391469,4.20766358816494,8.927322373011155,0.9945174465420976,8.700000000000003,True,248.30275054547798,0,0,0,7.98698692672661,2.280622675510657,10.98236293909707,2.999999999998524,False,
predicted_position,1.0,73,True,True,21.200000000000003,0.9551371326332585,2.2959265489291285,4.189661271473054,8.904040986255248,0.9945923297658719,8.700000000000003,True,247.3352394247913,0,0,0,7.98698692672661,2.28521662453503,11.288545419225732,2.999999999998524,False,
predicted_position,1.0,91,True,True,21.200000000000003,0.954549777015764,4.000101619914117,4.297241094907128,8.944916290565217,0.9952143534090877,8.700000000000003,True,252.47403266106576,0,0,0,7.98698692672661,2.278657930539753,7.006141118663662,2.999999999998524,False,
current_position,1.5,7,True,True,23.0,0.9826476056755673,3.9976843861291167,3.998537013162752,14.93184604097238,0.9823062497114505,10.700000000000003,True,255.5758167647828,0,0,0,10.309125535327311,9.011846659904622,13.307428738949632,2.9999999999999543,False,
current_position,1.5,19,True,True,23.0,0.9826476056755673,3.9899533911204856,3.93727979143693,14.944784433463093,0.9822965269963132,10.700000000000003,True,252.47420521540522,0,0,0,10.309125535327311,9.011846659904622,15.656409358181714,2.9999999999999543,False,
current_position,1.5,42,True,True,23.0,0.9826476056755673,4.000000009820099,3.9168366523160603,14.912995978191153,0.982290930589341,10.700000000000003,True,251.27214705143376,0,0,0,10.309125535327311,9.011846659904622,15.720899964298743,2.9999999999999543,False,
current_position,1.5,73,True,True,23.0,0.9826476056755673,2.2959265489291285,3.9004497166312184,14.895803511821525,0.9822872400640441,10.700000000000003,True,250.31217785378308,0,0,0,10.309125535327311,9.011846659904622,15.93476614452863,2.9999999999999543,False,
current_position,1.5,91,True,True,23.0,0.9826476056755673,4.000000013817805,3.9972936477531382,14.919044059240743,0.9823047292253206,10.700000000000003,True,255.42675613153864,0,0,0,10.309125535327311,9.011846659904622,13.385608369173482,2.9999999999999543,False,
predicted_position,1.5,7,True,True,21.650000000000002,0.7492177447024042,3.9976843861291167,3.991946792063789,12.4964808085785,0.9872932370354632,10.100000000000001,True,251.35472590722873,0,0,0,7.698662882014798,8.045125130331137,7.918267607115733,2.9999999999999516,False,
predicted_position,1.5,19,True,True,21.650000000000002,0.7492177447024042,3.9899533911204856,3.926892736029544,12.462665338176041,0.9872762619351853,10.100000000000001,True,248.25069513805528,0,0,0,7.698662882014798,8.045125130331137,11.544653272772901,2.9999999999999516,False,
predicted_position,1.5,42,True,True,21.650000000000002,0.7492177447024042,4.000000017208002,3.9050504721988686,12.439254495317876,0.9872683480512058,10.100000000000001,True,247.03331352207118,0,0,0,7.698662882014798,8.045125130331137,11.630146913126955,2.9999999999999516,False,
predicted_position,1.5,73,True,True,21.650000000000002,0.7492177447024042,2.2959265489291285,3.88778233499746,12.464080077289905,0.9872641035829782,10.100000000000001,True,246.06415948290896,0,0,0,7.698662882014798,8.045125130331137,11.918332536833313,2.9999999999999516,False,
predicted_position,1.5,91,True,True,21.650000000000002,0.7492177447024042,4.000000024019234,3.9907059240510208,12.47372660650439,0.9872904721058857,10.100000000000001,True,251.2096929551061,0,0,0,7.698662882014798,8.045125130331137,8.050148283303125,2.9999999999999516,False,
